created_at,amount_usd,currency,payment_instrument_type,card_brand,issuing_country,authorized
04-28-2021 22:26:03,30053,USD,PAYMENTCARD,VISA,US,0
04-12-2021 16:50:56,372591,USD,PAYMENTCARD,VISA,IE,1
01-16-2021 12:15:14,343577,AUD,PAYMENTCARD,MASTERCARD,US,0
02-23-2021 19:52:59,165203,GBP,KLARNA,AMEX,GB,1
03-13-2021 04:18:03,47651,USD,PAYMENTCARD,VISA,US,1
03-23-2021 06:13:49,19538,USD,PAYMENTCARD,VISA,US,1
05-29-2021 06:29:05,182344,EUR,PAYPAL,VISA,GB,1
01-21-2021 05:12:13,187501,AUD,PAYMENTCARD,VISA,GB,1
04-12-2021 21:59:10,50252,GBP,PAYPAL,VISA,GB,1
02-25-2021 12:40:27,368952,AUD,PAYMENTCARD,VISA,US,0
03-16-2021 08:07:22,30857,EUR,PAYMENTCARD,VISA,GB,1
02-01-2021 04:35:03,107265,GBP,PAYPAL,MASTERCARD,US,1
04-12-2021 03:42:28,214012,EUR,PAYMENTCARD,MASTERCARD,US,1
02-04-2021 21:53:39,338433,USD,PAYMENTCARD,AMEX,GB,1
03-11-2021 16:38:13,247538,GBP,PAYMENTCARD,VISA,GB,1
01-07-2021 16:36:30,276002,EUR,PAYPAL,AMEX,GB,1
05-28-2021 15:55:22,95735,USD,PAYMENTCARD,VISA,GB,1
03-16-2021 03:11:48,202954,USD,KLARNA,VISA,GB,1
03-12-2021 05:29:53,296154,EUR,GOCARDLESS,VISA,GB,1
04-19-2021 09:25:34,26724,EUR,PAYMENTCARD,VISA,US,1
03-05-2021 07:15:15,21487,USD,APPLEPAY,VISA,US,1
05-15-2021 15:20:14,3872,EUR,PAYMENTCARD,VISA,GB,1
01-05-2021 01:27:47,32527,EUR,PAYMENTCARD,VISA,GB,1
05-07-2021 09:51:51,151313,USD,PAYMENTCARD,VISA,GB,0
03-13-2021 06:25:39,347129,GBP,PAYPAL,VISA,US,1
05-04-2021 02:03:44,73340,EUR,PAYMENTCARD,VISA,GB,1
05-24-2021 07:56:56,251540,AUD,PAYMENTCARD,VISA,GB,1
05-29-2021 23:48:01,18215,AUD,PAYMENTCARD,VISA,GB,1
01-28-2021 03:22:43,169482,AUD,PAYMENTCARD,VISA,US,1
04-17-2021 01:18:03,128150,EUR,PAYMENTCARD,VISA,GB,1
01-17-2021 23:27:19,353391,CAD,PAYPAL,VISA,GB,1
01-25-2021 17:42:23,364500,USD,APPLEPAY,MASTERCARD,GB,1
01-15-2021 13:30:13,351197,SEK,PAYMENTCARD,VISA,US,1
02-17-2021 22:55:04,95423,EUR,PAYMENTCARD,MASTERCARD,GB,1
01-04-2021 00:59:26,233038,GBP,PAYPAL,MASTERCARD,GB,1
05-10-2021 12:17:27,143531,CAD,PAYMENTCARD,VISA,GB,1
02-14-2021 11:25:19,382657,EUR,PAYMENTCARD,AMEX,GB,1
04-29-2021 08:11:00,382216,USD,PAYPAL,VISA,GB,1
03-25-2021 06:49:29,4249,AUD,PAYMENTCARD,VISA,GB,0
01-30-2021 21:07:52,175666,GBP,PAYMENTCARD,VISA,GB,1
02-14-2021 15:07:32,131288,AUD,PAYMENTCARD,MASTERCARD,US,0
02-18-2021 18:26:54,356148,AUD,PAYMENTCARD,VISA,GB,1
04-11-2021 00:10:20,41666,USD,PAYMENTCARD,VISA,IE,1
